"ccode","year","n.docs","n.words","n.binary","rights","alt.dv.perc","muslim","muslim.maj","mena","polity2","physint","amnesty","statedept","gdp.pc.un","pop.wdi","wopol","wosoc","wecon","domestic9","count","region"
700,1979,NA,NA,NA,NA,NA,1,1,1,NA,NA,5,5,278.939779100511,13283279,NA,NA,NA,6625,152,"MENA"
540,1979,NA,NA,NA,NA,NA,0,0,0,-7,NA,3,2,546.597714274381,7952882,NA,NA,NA,2500,25,"Africa"
339,1979,NA,NA,NA,NA,NA,0.7,1,0,-9,NA,3,NA,920.312024967745,2617832,NA,NA,NA,0,6,"EECA"
696,1979,NA,NA,NA,NA,NA,0.87,1,1,-8,NA,NA,1,33716.8301954071,927303,NA,NA,NA,0,1,"MENA"
160,1979,NA,NA,NA,NA,NA,0.01,0,0,-9,NA,5,4,2462.40754656142,27684530,NA,NA,NA,3125,82,"LA"
900,1979,NA,NA,NA,NA,NA,0.01,0,0,10,NA,NA,1,10343.2888485394,14514000,NA,NA,NA,125,37,"West"
305,1979,NA,NA,NA,NA,NA,0.02,0,0,10,NA,NA,1,9670.1826904164,7549425,NA,NA,NA,0,27,"West"
516,1979,NA,NA,NA,NA,NA,0.02,0,0,-7,NA,2,2,192.36591246177,4018927,NA,NA,NA,0,1,"Africa"
211,1979,NA,NA,NA,NA,NA,0.03,0,0,10,NA,NA,1,11674.0319511662,9848382,NA,NA,NA,812,20,"West"
434,1979,NA,NA,NA,NA,NA,0.21,0,0,-7,NA,2,2,297.202626930016,3618509,NA,NA,NA,0,1,"Africa"
439,1979,NA,NA,NA,NA,NA,0.55,1,0,5,NA,NA,2,267.136185176065,6671659,NA,NA,NA,NA,NA,"Africa"
771,1979,NA,NA,NA,NA,NA,0.88,1,0,-4,NA,3,2,207.41436227802,79141947,NA,NA,NA,0,22,"Asia"
355,1979,NA,NA,NA,NA,NA,0.13,0,0,-7,NA,3,2,1056.93544664887,8825940,NA,NA,NA,0,5,"EECA"
692,1979,NA,NA,NA,NA,NA,0.82,1,1,-10,NA,3,2,8518.1517635025,342829,NA,NA,NA,0,7,"MENA"
31,1979,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1,7665.95506450013,206038,NA,NA,NA,0,NA,"LA"
370,1979,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,9584000,NA,NA,NA,NA,NA,"EECA"
145,1979,NA,NA,NA,NA,NA,0,0,0,-4,NA,3,3,620.457428342612,5469123,NA,NA,NA,5187,64,"LA"
140,1979,NA,NA,NA,NA,NA,0,0,0,-4,NA,3,2,1564.82384748446,119341444,NA,NA,NA,812,72,"LA"
53,1979,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1,3190.59478022532,251176,NA,NA,NA,0,NA,"LA"
760,1979,NA,NA,NA,NA,NA,0.01,0,0,-10,NA,NA,NA,262.927376871558,400378,NA,NA,NA,0,1,"Asia"
571,1979,NA,NA,NA,NA,NA,0,0,0,6,NA,NA,1,618.826806351039,959666,NA,NA,NA,0,4,"Africa"
482,1979,NA,NA,NA,NA,NA,0.08,0,0,-7,NA,4,4,441.458401108375,2213888,NA,NA,NA,2687,27,"Africa"
20,1979,NA,NA,NA,NA,NA,0.01,0,0,10,NA,NA,1,10002.1265217096,24277000,NA,NA,NA,250,358,"West"
225,1979,NA,NA,NA,NA,NA,0.02,0,0,10,NA,1,1,16738.5920407144,6294365,NA,NA,NA,0,NA,"West"
155,1979,NA,NA,NA,NA,NA,0,0,0,-7,NA,4,3,2067.38674144639,11070198,NA,NA,NA,500,102,"LA"
710,1979,NA,NA,NA,NA,NA,0.02,0,0,-7,NA,3,3,271.215579992235,969005000,NA,NA,NA,1625,750,"Asia"
437,1979,NA,NA,NA,NA,NA,0.39,0,0,-9,NA,2,2,1155.46772743444,7912390,NA,NA,NA,0,3,"Africa"
471,1979,NA,NA,NA,NA,NA,0.22,0,0,-8,NA,4,3,820.416291570346,8673666,NA,NA,NA,0,3,"Africa"
490,1979,NA,NA,NA,NA,NA,NA,NA,0,-9,NA,3,3,402.563522844217,25656486,NA,NA,NA,3750,22,"Africa"
484,1979,NA,NA,NA,NA,NA,0.01,0,0,-8,NA,2,2,684.485068344127,1749859,NA,NA,NA,500,3,"Africa"
100,1979,NA,NA,NA,NA,NA,0,0,0,8,NA,5,3,1500.28197043334,27113510,NA,NA,NA,1937,23,"LA"
581,1979,NA,NA,NA,NA,NA,0.98,1,0,-5,NA,2,2,373.981044325115,297765,NA,NA,NA,NA,NA,"Africa"
402,1979,NA,NA,NA,NA,NA,0.02,0,0,-4,NA,NA,1,479.032037948415,281555,NA,NA,NA,0,1,"Africa"
94,1979,NA,NA,NA,NA,NA,0,0,0,10,NA,NA,1,2244.84865138152,2326708,NA,NA,NA,0,3,"LA"
315,1979,NA,NA,NA,NA,NA,NA,NA,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,"EECA"
40,1979,NA,NA,NA,NA,NA,0,0,0,-7,NA,3,3,2003.29468429828,9777287,NA,NA,NA,0,253,"LA"
352,1979,NA,NA,NA,NA,NA,0,0,0,10,NA,NA,1,3655.98461081651,680013,NA,NA,NA,0,37,"EECA"
265,1979,NA,NA,NA,NA,NA,NA,NA,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"EECA"
260,1979,NA,NA,NA,NA,NA,0.03,0,0,10,NA,NA,NA,10754.6412921743,78126350,NA,NA,NA,NA,205,"West"
522,1979,NA,NA,NA,NA,NA,0.9,1,0,-8,NA,3,2,784.623462318344,336254,NA,NA,NA,0,NA,"Africa"
390,1979,NA,NA,NA,NA,NA,0.02,0,0,10,NA,NA,1,13513.1839270387,5116801,NA,NA,NA,250,13,"West"
42,1979,NA,NA,NA,NA,NA,0,0,0,6,NA,3,2,1191.63191356227,5675930,NA,NA,NA,2750,18,"LA"
615,1979,NA,NA,NA,NA,NA,0.98,1,1,-9,NA,4,2,1762.08571809191,18760761,NA,NA,NA,0,27,"MENA"
130,1979,NA,NA,NA,NA,NA,0,0,0,9,NA,2,2,1437.79442545598,7772652,NA,NA,NA,0,22,"LA"
651,1979,NA,NA,NA,NA,NA,0.93,1,1,-6,NA,3,2,355.290967911798,42321740,NA,NA,NA,0,105,"MENA"
531,1979,NA,NA,NA,NA,NA,0.39,0,0,NA,NA,NA,NA,NA,2316054,NA,NA,NA,NA,NA,"Africa"
230,1979,NA,NA,NA,NA,NA,0.01,0,0,9,NA,2,1,5601.62711576513,37201123,NA,NA,NA,9500,176,"West"
530,1979,NA,NA,NA,NA,NA,0.33,0,0,-7,NA,4,4,NA,34569428,NA,NA,NA,1875,28,"Africa"
375,1979,NA,NA,NA,NA,NA,0,0,0,10,NA,NA,1,9224.39940326367,4764690,NA,NA,NA,250,12,"West"
950,1979,NA,NA,NA,NA,NA,0.08,0,0,9,NA,NA,NA,1657.0586859503,621541,NA,NA,NA,0,1,"LA"
220,1979,NA,NA,NA,NA,NA,0.01,0,0,8,NA,2,1,11014.7566775281,55130594,NA,NA,NA,687,214,"West"
481,1979,NA,NA,NA,NA,NA,0.03,0,0,-9,NA,1,1,5231.14284548824,711544,NA,NA,NA,0,NA,"Africa"
200,1979,NA,NA,NA,NA,NA,0.02,0,0,10,NA,1,1,7504.82724704498,56246951,NA,NA,NA,1250,546,"West"
452,1979,NA,NA,NA,NA,NA,0.15,0,0,6,NA,3,3,449.960502808911,10550770,NA,NA,NA,2125,24,"Africa"
438,1979,NA,NA,NA,NA,NA,0.69,1,0,-9,NA,3,2,298.982836828703,4451872,NA,NA,NA,0,21,"Africa"
420,1979,NA,NA,NA,NA,NA,0.87,1,0,8,NA,NA,1,761.171676401078,585155,NA,NA,NA,0,NA,"Africa"
404,1979,NA,NA,NA,NA,NA,0.38,0,0,-7,NA,NA,2,672.457994310064,834068,NA,NA,NA,0,1,"Africa"
